pupilId,subscription_type,subscription_start_date,subscription_end_date,codeCountry
995069,Monthly,2016-10-23,2016-11-23,GBR
995069,Monthly,2016-11-23,2016-12-23,GBR
995069,Monthly,2016-12-23,2017-01-23,GBR
995069,Monthly,2017-01-23,2017-02-23,GBR
995069,Monthly,2017-02-23,2017-03-23,GBR
995079,Annual,2016-01-11,2017-01-11,GBR
995081,Annual,2016-01-03,2017-01-03,GBR
995098,Monthly,2016-01-05,2016-02-05,GBR
995101,Monthly,2016-01-09,2016-02-09,GBR
995101,Monthly,2016-02-09,2016-03-09,GBR
995101,Monthly,2016-03-09,2016-04-09,GBR
995101,Monthly,2016-04-09,2016-05-09,GBR
995101,Monthly,2016-05-09,2016-06-09,GBR
995101,Monthly,2016-06-09,2016-07-09,GBR
995101,Monthly,2016-07-09,2016-08-09,GBR
995101,Monthly,2016-08-09,2016-09-09,GBR
995101,Monthly,2016-09-09,2016-10-09,GBR
995101,Monthly,2016-10-09,2016-11-09,GBR
995101,Monthly,2016-11-09,2016-12-09,GBR
995130,Monthly,2016-01-04,2016-02-04,GBR
995130,Monthly,2016-02-04,2016-03-04,GBR
995133,Monthly,2016-01-25,2016-02-25,GBR
995133,Monthly,2016-02-25,2016-03-25,GBR
995133,Monthly,2016-03-25,2016-04-25,GBR
995133,Monthly,2016-04-25,2016-05-25,GBR
995133,Monthly,2016-05-25,2016-06-25,GBR
995137,Annual,2016-01-07,2017-01-07,GBR
995137,Annual,2017-01-07,2018-01-07,GBR
995137,Annual,2018-01-07,2019-01-07,GBR
995153,Annual,2016-01-05,2017-01-05,GBR
995170,Monthly,2016-01-07,2016-02-07,GBR
995186,Annual,2016-01-05,2017-01-05,GBR
995195,Monthly,2016-01-04,2016-02-04,GBR
995244,Monthly,2016-01-09,2016-02-09,GBR
995244,Monthly,2016-02-09,2016-03-09,GBR
995244,Monthly,2016-03-09,2016-04-09,GBR
995244,Monthly,2016-04-09,2016-05-09,GBR
995244,Monthly,2016-05-09,2016-06-09,GBR
995244,Monthly,2016-06-09,2016-07-09,GBR
995244,Monthly,2016-07-09,2016-08-09,GBR
995763,Monthly,2016-09-05,2016-10-05,GBR
995763,Monthly,2016-10-05,2016-11-05,GBR
995771,Monthly,2016-01-25,2016-02-25,GBR
995771,Monthly,2016-02-25,2016-03-25,GBR
995771,Monthly,2016-03-25,2016-04-25,GBR
995771,Monthly,2016-04-25,2016-05-25,GBR
995771,Monthly,2016-05-25,2016-06-25,GBR
995771,Monthly,2016-06-25,2016-07-25,GBR
995771,Monthly,2016-07-25,2016-08-25,GBR
995771,Monthly,2016-08-25,2016-09-25,GBR
995771,Monthly,2016-09-25,2016-10-25,GBR
995771,Monthly,2016-10-25,2016-11-25,GBR
995771,Monthly,2016-11-25,2016-12-25,GBR
995771,Monthly,2016-12-25,2017-01-25,GBR
995771,Monthly,2017-01-25,2017-02-25,GBR
995771,Monthly,2017-10-16,2017-11-16,GBR
995771,Monthly,2017-11-16,2017-12-16,GBR
995824,Annual,2016-01-05,2016-01-06,GBR
995884,Annual,2016-01-08,2017-01-08,GBR
996262,Monthly,2016-01-31,2016-02-29,GBR
996262,Monthly,2016-02-29,2016-03-29,GBR
996262,Monthly,2016-03-29,2016-04-29,GBR
996262,Monthly,2016-04-29,2016-05-29,GBR
996262,Monthly,2016-05-29,2016-06-29,GBR
996262,Monthly,2016-06-29,2016-07-29,GBR
996262,Monthly,2016-07-29,2016-08-29,GBR
996262,Monthly,2016-08-29,2016-09-29,GBR
996262,Monthly,2016-09-29,2016-10-29,GBR
996288,Annual,2016-01-26,2017-01-26,GBR
996387,Annual,2016-01-11,2017-01-11,GBR
996399,Monthly,2016-09-05,2016-10-05,GBR
996399,Monthly,2016-10-05,2016-11-05,GBR
996505,Annual,2016-01-07,2017-01-07,GBR
996505,Annual,2017-01-07,2017-01-07,GBR
996506,Annual,2016-01-07,2017-01-07,GBR
996506,Annual,2017-01-07,2017-01-07,GBR
996530,Monthly,2016-01-10,2016-02-10,GBR
996530,Monthly,2016-02-10,2016-03-10,GBR
996535,Annual,2016-01-16,2017-01-16,GBR
996535,Annual,2017-01-16,2018-01-16,GBR
996538,Annual,2016-01-07,2017-01-07,GBR
996538,Annual,2017-01-07,2018-01-07,GBR
996538,Annual,2018-01-07,2019-01-07,GBR
996989,Monthly,2016-01-08,2016-02-08,GBR
996989,Monthly,2016-02-08,2016-03-08,GBR
996989,Monthly,2016-03-08,2016-04-08,GBR
996989,Monthly,2016-04-08,2016-05-08,GBR
996989,Monthly,2016-05-08,2016-06-08,GBR
996989,Monthly,2016-06-08,2016-07-08,GBR
996989,Monthly,2016-07-08,2016-08-08,GBR
996989,Monthly,2016-08-08,2016-09-08,GBR
996989,Monthly,2016-09-08,2016-10-08,GBR
996989,Monthly,2016-10-08,2016-11-27,GBR
996989,Monthly,2016-11-27,2016-12-27,GBR
996989,Monthly,2016-12-27,2017-01-27,GBR
996989,Monthly,2017-01-27,2017-02-27,GBR
996989,Monthly,2017-02-27,2017-03-27,GBR
996989,Monthly,2017-03-27,2017-04-27,GBR
996989,Monthly,2017-04-27,2017-05-27,GBR
996989,Monthly,2017-05-27,2017-06-27,GBR
996989,Monthly,2017-06-27,2017-07-27,GBR
996989,Monthly,2017-07-27,2017-08-27,GBR
996989,Monthly,2017-08-27,2017-09-27,GBR
996989,Monthly,2017-09-27,2017-10-27,GBR
