pupilId,date,count_complete,count_incomplete,customer_month,subscription_end_date
661438,2014-01-27,4.0,0.0,0,
661438,2014-01-28,6.0,0.0,0,
661438,2014-01-30,3.0,0.0,0,
661438,2014-02-02,10.0,0.0,0,
661438,2014-02-04,7.0,0.0,0,
661438,2014-02-06,3.0,0.0,0,
661438,2014-02-09,6.0,0.0,0,
661438,2014-02-10,8.0,0.0,0,
661438,2014-02-11,2.0,0.0,0,
661438,2014-02-13,3.0,0.0,0,
661438,2014-02-21,5.0,0.0,0,
661438,2014-02-23,9.0,0.0,0,
661438,2014-02-25,2.0,0.0,0,
661438,2014-02-26,1.0,0.0,0,
661438,2014-02-27,2.0,0.0,0,
661438,2014-03-05,4.0,0.0,0,
661438,2014-03-09,4.0,0.0,0,
661438,2014-03-10,2.0,0.0,0,
661438,2014-03-17,2.0,0.0,0,
661438,2014-03-18,5.0,0.0,0,
661438,2014-03-21,2.0,0.0,0,
661438,2014-03-24,3.0,0.0,0,
661438,2014-03-25,4.0,0.0,0,
661438,2014-03-27,3.0,0.0,0,
661438,2014-03-30,2.0,0.0,0,
661438,2014-04-01,2.0,0.0,0,
661438,2014-04-03,4.0,0.0,0,
661438,2014-04-21,5.0,0.0,0,
661438,2014-04-24,2.0,0.0,0,
661438,2014-04-28,3.0,0.0,0,
661438,2014-05-07,6.0,0.0,0,
661438,2014-05-08,1.0,0.0,0,
661438,2014-05-12,6.0,0.0,0,
661438,2014-05-18,3.0,0.0,0,
661438,2014-05-19,6.0,0.0,0,
661438,2014-05-20,2.0,0.0,0,
661438,2014-05-28,9.0,0.0,0,
661438,2014-06-04,2.0,0.0,0,
661438,2014-06-05,2.0,0.0,0,
661438,2014-06-09,2.0,0.0,0,
661438,2014-06-10,7.0,0.0,0,
661438,2014-06-16,3.0,0.0,0,
661438,2014-06-18,1.0,0.0,0,
661438,2014-06-24,3.0,0.0,0,
661438,2014-06-25,4.0,0.0,0,
661438,2014-06-26,2.0,0.0,0,
661438,2014-06-30,3.0,0.0,0,
661438,2014-07-01,3.0,0.0,0,
661438,2014-07-03,1.0,0.0,0,
661438,2014-07-05,3.0,0.0,0,
661438,2014-07-08,5.0,0.0,0,
661438,2014-07-14,2.0,0.0,0,
661438,2014-07-15,2.0,0.0,0,
661438,2014-07-16,1.0,0.0,0,
661438,2014-07-17,2.0,0.0,0,
661438,2014-08-23,3.0,0.0,0,
661438,2014-08-30,3.0,0.0,0,
661438,2014-09-01,2.0,0.0,0,
661438,2014-09-02,5.0,0.0,0,
661438,2014-09-04,3.0,0.0,0,
661438,2014-09-07,2.0,0.0,0,
661438,2014-09-10,4.0,0.0,0,
661438,2014-09-11,5.0,0.0,0,
661438,2014-09-15,4.0,0.0,0,
661438,2014-09-17,9.0,0.0,0,
661438,2014-09-20,3.0,0.0,0,
661438,2014-09-22,4.0,1.0,0,
661438,2014-09-23,7.0,1.0,0,
661438,2014-09-29,1.0,0.0,0,
661438,2014-10-01,6.0,0.0,0,
661438,2014-10-02,6.0,0.0,0,
661438,2014-10-06,5.0,1.0,0,
661438,2014-10-07,4.0,1.0,0,
661438,2014-10-13,7.0,0.0,0,
661438,2014-10-14,6.0,0.0,0,
661438,2014-10-20,1.0,0.0,0,
661438,2014-10-21,2.0,0.0,0,
661438,2014-11-03,3.0,0.0,0,
661438,2014-11-06,5.0,0.0,0,
661438,2014-11-11,3.0,0.0,0,
661438,2014-11-12,10.0,1.0,0,
661438,2014-11-13,4.0,1.0,0,
661438,2014-11-17,4.0,2.0,0,
661438,2014-11-18,9.0,0.0,0,
661438,2014-11-24,1.0,0.0,0,
661438,2014-11-25,7.0,2.0,0,
661438,2014-11-26,11.0,0.0,0,
661438,2014-11-28,1.0,0.0,0,
661438,2014-12-01,3.0,0.0,0,
661438,2014-12-02,7.0,4.0,0,
661438,2014-12-03,11.0,1.0,0,
661438,2014-12-04,10.0,1.0,0,
661438,2014-12-05,4.0,0.0,0,
661438,2014-12-18,5.0,0.0,0,
661438,2015-01-03,6.0,0.0,0,
661438,2015-01-07,8.0,0.0,0,
661438,2015-01-09,6.0,0.0,0,
661438,2015-01-13,11.0,0.0,0,
661438,2015-01-15,4.0,1.0,0,
661438,2015-01-21,4.0,1.0,0,
661438,2015-01-22,7.0,0.0,0,
661438,2015-01-26,11.0,0.0,0,
661438,2015-02-04,5.0,0.0,0,
661438,2015-02-05,3.0,0.0,0,
661438,2015-02-10,4.0,0.0,0,
661438,2015-02-11,8.0,0.0,0,
661438,2015-02-22,10.0,0.0,0,
661438,2015-02-24,6.0,0.0,0,
661438,2015-02-26,3.0,0.0,0,
661438,2015-03-03,7.0,2.0,0,
661438,2015-03-10,7.0,0.0,0,
661438,2015-03-11,6.0,0.0,0,
661438,2015-03-18,12.0,0.0,0,
661438,2015-03-19,1.0,0.0,0,
661438,2015-04-10,5.0,2.0,0,
661438,2015-04-11,1.0,1.0,0,
661438,2015-04-14,3.0,1.0,0,
661438,2015-04-19,1.0,0.0,0,
661438,2015-04-23,5.0,1.0,0,
661438,2015-04-28,5.0,1.0,0,
661438,2015-05-06,14.0,4.0,0,
661438,2015-05-13,7.0,0.0,0,
661438,2015-05-19,8.0,0.0,0,
661438,2015-05-29,19.0,2.0,0,
661438,2015-06-05,4.0,1.0,0,
661438,2015-06-17,1.0,1.0,0,
661438,2015-06-28,3.0,0.0,0,
661438,2015-07-30,2.0,0.0,1,2015-08-30
661438,2015-08-04,4.0,2.0,1,2015-08-30
661784,2014-01-08,2.0,0.0,0,
661784,2014-01-09,3.0,0.0,0,
661784,2014-01-13,1.0,0.0,0,
661784,2014-01-23,1.0,0.0,0,
661784,2014-01-27,2.0,0.0,0,
661784,2014-01-30,1.0,0.0,0,
661784,2014-03-03,1.0,0.0,1,2014-04-03
661784,2014-03-04,1.0,0.0,1,2014-04-03
661784,2014-03-06,1.0,0.0,1,2014-04-03
661784,2014-03-10,2.0,0.0,1,2014-04-03
661784,2014-03-12,3.0,0.0,1,2014-04-03
661784,2014-03-17,2.0,0.0,1,2014-04-03
661784,2014-03-18,3.0,0.0,1,2014-04-03
661784,2014-03-20,6.0,0.0,1,2014-04-03
661784,2014-03-24,2.0,0.0,1,2014-04-03
661784,2014-03-25,3.0,0.0,1,2014-04-03
661784,2014-03-26,1.0,0.0,1,2014-04-03
661784,2014-03-27,2.0,0.0,1,2014-04-03
661784,2014-03-28,5.0,0.0,1,2014-04-03
661784,2014-03-31,3.0,0.0,1,2014-04-03
661784,2014-04-04,2.0,0.0,2,2014-05-03
661784,2014-04-07,4.0,0.0,2,2014-05-03
661784,2014-04-08,2.0,0.0,2,2014-05-03
661784,2014-04-09,2.0,0.0,2,2014-05-03
661784,2014-04-11,3.0,0.0,2,2014-05-03
661784,2014-04-24,3.0,0.0,2,2014-05-03
661784,2014-04-28,1.0,0.0,2,2014-05-03
661784,2014-04-29,1.0,0.0,2,2014-05-03
661784,2014-05-01,4.0,0.0,2,2014-05-03
661785,2014-01-08,2.0,0.0,0,
661785,2014-01-09,4.0,0.0,0,
661785,2014-01-13,4.0,0.0,0,
661785,2014-03-04,2.0,0.0,1,2014-04-03
661785,2014-03-06,3.0,0.0,1,2014-04-03
661785,2014-03-10,7.0,0.0,1,2014-04-03
661785,2014-03-13,1.0,0.0,1,2014-04-03
661785,2014-03-17,2.0,0.0,1,2014-04-03
661785,2014-03-19,1.0,0.0,1,2014-04-03
661785,2014-03-24,6.0,0.0,1,2014-04-03
661785,2014-03-25,3.0,0.0,1,2014-04-03
661785,2014-03-27,1.0,0.0,1,2014-04-03
661785,2014-04-07,1.0,0.0,2,2014-05-03
661785,2014-04-08,5.0,0.0,2,2014-05-03
661785,2014-04-11,1.0,0.0,2,2014-05-03
661785,2014-04-28,4.0,0.0,2,2014-05-03
662452,2014-12-14,31.0,14.0,1,2015-01-14
662452,2014-12-15,8.0,6.0,1,2015-01-14
662452,2014-12-16,3.0,4.0,1,2015-01-14
662452,2014-12-17,12.0,2.0,1,2015-01-14
662452,2014-12-18,6.0,8.0,1,2015-01-14
662452,2014-12-20,16.0,21.0,1,2015-01-14
662452,2014-12-23,11.0,8.0,1,2015-01-14
662452,2014-12-24,10.0,4.0,1,2015-01-14
662452,2014-12-27,15.0,3.0,1,2015-01-14
662452,2014-12-29,8.0,4.0,1,2015-01-14
662490,2014-01-13,1.0,0.0,0,
662490,2014-01-15,4.0,0.0,0,
662490,2014-01-26,5.0,0.0,0,
662490,2014-02-01,13.0,0.0,1,2014-03-01
662490,2014-02-07,7.0,0.0,1,2014-03-01
662490,2014-02-08,1.0,0.0,1,2014-03-01
662540,2014-02-08,12.0,0.0,1,2014-03-04
662540,2014-02-16,1.0,0.0,1,2014-03-04
662785,2014-01-16,5.0,0.0,0,
662785,2014-01-18,1.0,0.0,0,
662785,2014-02-10,5.0,0.0,1,2014-03-08
662785,2014-02-14,2.0,0.0,1,2014-03-08
662785,2014-02-15,1.0,0.0,1,2014-03-08
662785,2014-02-16,5.0,0.0,1,2014-03-08
662785,2014-02-19,5.0,0.0,1,2014-03-08
662785,2014-02-20,5.0,0.0,1,2014-03-08
662785,2014-02-22,2.0,0.0,1,2014-03-08
662785,2014-02-23,15.0,0.0,1,2014-03-08
662785,2014-02-24,8.0,0.0,1,2014-03-08
662785,2014-02-28,6.0,0.0,1,2014-03-08
662785,2014-03-06,9.0,0.0,1,2014-03-08
662785,2014-03-07,5.0,0.0,1,2014-03-08
662785,2014-03-14,3.0,0.0,2,2014-04-08
662785,2014-03-19,1.0,0.0,2,2014-04-08
662785,2014-03-21,3.0,0.0,2,2014-04-08
662785,2014-03-25,6.0,0.0,2,2014-04-08
662785,2014-04-05,5.0,0.0,2,2014-04-08
663415,2014-02-13,6.0,0.0,1,2014-03-13
663415,2014-02-14,4.0,0.0,1,2014-03-13
663415,2014-02-19,2.0,0.0,1,2014-03-13
663415,2014-02-23,2.0,0.0,1,2014-03-13
663415,2014-02-24,4.0,0.0,1,2014-03-13
663415,2014-02-25,2.0,0.0,1,2014-03-13
663415,2014-02-26,1.0,0.0,1,2014-03-13
663415,2014-02-27,7.0,0.0,1,2014-03-13
663415,2014-03-05,9.0,0.0,1,2014-03-13
663415,2014-03-06,2.0,0.0,1,2014-03-13
663415,2014-03-07,9.0,0.0,1,2014-03-13
663415,2014-03-09,3.0,0.0,1,2014-03-13
663415,2014-03-10,3.0,0.0,1,2014-03-13
663415,2014-03-11,3.0,0.0,1,2014-03-13
663415,2014-03-13,3.0,0.0,2,2014-04-13
663415,2014-03-19,1.0,0.0,2,2014-04-13
663415,2014-03-24,6.0,0.0,2,2014-04-13
663415,2014-03-25,2.0,0.0,2,2014-04-13
663415,2014-03-26,4.0,0.0,2,2014-04-13
663415,2014-03-28,1.0,0.0,2,2014-04-13
663415,2014-03-31,2.0,0.0,2,2014-04-13
663415,2014-04-02,3.0,0.0,2,2014-04-13
663415,2014-04-04,3.0,0.0,2,2014-04-13
663415,2014-04-09,1.0,0.0,2,2014-04-13
663415,2014-05-08,5.0,0.0,3,2014-05-13
663415,2014-05-13,1.0,0.0,4,2014-06-13
663415,2014-06-20,2.0,0.0,5,2014-07-13
